,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
22361,461f67_18218,38956.652205350685,2037.1760183458416,440.6185619408788,58646.48326219087
22362,461f67_18219,36735.03294185047,2213.893356977515,449.7070172859649,64056.94847588705
22363,461f6c_18225,36496.80148243635,1967.4994554508132,445.4398958199432,64182.14177582547
22364,461f6c_18230,38671.83244163424,2398.572244934691,446.4954184158164,59920.96725724613
22365,461f6c_18233,36896.91376701967,1759.0282178683783,459.8615600935839,62904.82563105281
22366,461f6d_18235,38867.25721784777,1917.8731331123631,447.8445294835958,58647.42989039791
22367,461f6d_18236,38904.78353304986,1640.5655193007674,448.8468632926766,58085.65499994064
22368,461f6d_18238,35825.618206521736,2221.6663567967203,444.99289720973286,66160.99811441226
22369,461f6e_18255,37978.20089955023,2062.260050947491,448.8059726620699,60938.92965320284
22370,461f6e_18257,38933.36380255941,1207.8562030730866,450.3422162005819,57277.97758566079
22371,4690e4_18421,37984.361869747896,2336.1220828215432,444.7422035067688,61394.36041107813
22372,4690e4_18422,36591.922099915326,2156.68693948752,447.3414551161596,64287.86407152271
22373,4690e4_18424,36775.43331374853,2074.100093743453,445.6162344357379,63724.363789221956
22374,4691c1_18477,34742.56030701754,2701.421498955536,454.0381717987079,69473.56265453072
22375,471ea5_18753,34985.02024291498,867.051338606783,443.1636245636704,65770.73588803838
22376,471ea5_18758,35789.91935483871,983.9418748199076,443.9587377159112,64120.727123281176
22377,471ea8_18764,37961.61398467433,992.160057327845,448.3998444595216,59142.14862744842
22378,471ea8_18765,37993.72894047173,1676.6013917151604,442.4361944780268,60241.93733138197
22379,471ea8_18766,36967.95908658421,1016.1743600819603,440.0140971585706,61467.71340840531
22380,471ea9_18785,36928.10119695321,1364.0444455081088,453.65890707659776,62155.84288630959
22381,471ea9_18786,37573.63363363363,1480.8134169642435,453.79082362718526,60872.00557645972
22382,471ee0_18798,38001.37077900368,2006.4444874189464,451.8110902123549,60789.95504513924
22383,471ee0_18800,37000.28782894737,1596.992981855263,446.4594083529126,62389.32745388021
22384,471ee2_18815,32063.045396214307,3529.2603793934604,460.04078927643377,77053.20452755586
22385,471f55_19037,36000.81753994797,1383.509804867943,454.5337797157746,64321.021753943714
22386,471f5c_19096,37987.28111689541,1624.7648576537763,450.330176894803,60167.87595567273
22387,471f5c_19097,36999.23687423687,1248.528290250954,439.110539880754,61794.22678236966
22388,471f7f_19405,36737.67238952997,2143.917093667261,447.5973939459973,63930.89127447677
22389,471f81_19418,37000.73302469136,871.3711560660926,438.4642174925934,61144.07108917131
22390,471f81_19419,37621.22009569378,970.9396282903692,450.4183565766097,59888.318521000954
22391,471f81_19430,39001.61859917599,1256.5619400473793,439.9183320418714,57204.5778966581
22392,471f82_19433,36028.3322496749,1241.20391398601,434.7534662385074,64013.7524402586
22393,471f82_19438,38003.19518716577,1364.626824961783,452.82113992590376,59685.2279593174
22394,471f8d_19530,35964.02091254753,1783.5289684380746,453.30362728649567,65091.53414859931
22395,471f8f_19537,36300.663237682726,1412.0301299115354,445.3777485837314,63680.58833674507
22396,47340f_19564,37611.7995378394,1476.747814138991,454.0667824501201,60777.29180017453
22397,47340f_19568,36662.11734693877,1284.102111136395,460.46698918960334,62630.254816966466
22398,4951b7_23854,36983.89560789306,1939.509373537061,436.4277632327531,63014.32991490132
22399,4951cb_23856,37768.28972868217,1019.1822842421798,440.9563084492576,59632.93149150514
22400,4951cb_23857,37824.48096885813,1123.587574098705,439.01185708437697,59682.77433358118
22401,4951cb_23864,37000.95899470899,1543.281188821298,441.25865884259866,62295.684173920265
22402,4951cd_23893,35824.20122365738,1890.33102554206,432.9115371213084,65596.11086188401
22403,4951ce_23900,38000.21276595745,1000.653842977896,445.8177511217789,59067.97541923514
22404,4951ce_23913,35001.070314715056,2136.339964092401,439.694977193667,67910.30235460144
22405,4951d1_23927,37874.89552862516,1673.8450604978752,432.8722586470368,60510.405984985264
22406,4951d2_23938,34841.883810337466,1704.7417174058598,436.0367674586903,67536.20110795538
22407,4951d3_23942,38990.84753677329,1620.0246517330345,438.3659937382873,57852.57437630955
22408,4951d3_23943,37993.79461834157,1483.4354402396093,438.191059184415,59910.56225312594
22409,4951d3_23947,36306.75191815857,1559.1685788954692,443.30039101666046,63918.890765407035
22410,4951d5_23973,36476.64179104478,1052.3212222371374,431.6454175923136,62659.22076282592
22411,4951d6_24009,37398.3140655106,1568.2364718371127,434.9368513175135,61424.96618375683
22412,4951d7_24027,37977.439024390245,1826.379373546408,450.3341112413392,60536.2136203774
22413,4951d8_24028,36397.20715835141,2371.1495849566872,437.29376470503786,65103.25052928507
22414,4b15ef_25644,36854.281098546046,1226.834293639167,439.44088911380857,62090.27742817669
22415,4b15ef_25645,37886.12143742255,1273.7314974213923,439.24817191223485,59798.51814927386
22416,4b1612_25659,34961.897506925205,1363.4259157644335,434.2860523593345,66675.03419623285
22417,4b1614_25681,34995.730416372615,1854.5245102624408,448.54195994267417,67439.34614090528
22418,4b1614_25682,36220.60414788097,1586.4004455211616,434.3928140125976,64163.63710643999
22419,4b1614_25683,34923.27421815408,1686.7755862622805,439.2627511511877,67318.27989450983
22420,4b1619_25697,35837.86314984709,1133.977808683259,436.9564862661192,64267.774069696155
22421,4b161e_25713,36714.51712434434,2126.666261653625,453.4766715532295,63954.54441729338
22422,4b18ba_26299,36335.05962897527,2583.2898473069963,441.7650155443593,65609.88568316582
22423,4b18ba_26300,37899.87601442741,2739.681035638742,439.4557601169002,62280.5788401015
22424,4b18f1_26309,35415.983224603915,1091.9760512580913,452.9484120778063,65165.64426784204
22425,4b18f1_26315,37855.46757164404,839.4246288464396,432.24655902050944,59124.279151382594
