,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude,pred,error,error_percent
20,ac1-526,37994.34004884005,1814.785692650987,62994.90927734375,56807.9092590332,441.667572937771,0.0,38010.0,60389.86763956239,-2605.04163778136,4.1353208817434846
21,ac1-410,34005.1185361973,980.1150722937268,58731.1409362793,55138.68931274414,423.3463930381349,0.7482641209228319,34022.0,68109.33766237735,9378.196726098053,15.96801386213999
22,ac2-324,36946.83111111111,2816.3966430479963,65916.04418334962,56572.04122314454,442.526012294611,0.7653252525252524,36966.0,64559.700358176895,-1356.3438251727202,2.057683894682704
23,ac1-107,36997.1141253508,1399.7834376192875,67929.9943359375,62704.61015625,446.7601036513344,0.6799999999999999,37014.0,61957.37693996784,-5972.617395969661,8.792312518727714
24,ac2-153,37939.97442727757,1308.5979546327833,57497.36967163086,52979.58959960938,437.0590078982012,0.7382759722962174,37956.0,59626.533995284306,2129.1643236534437,3.703063871987819
25,ac2-275,37000.69875893193,1711.6164120551582,65861.61309814453,59928.62481079101,443.802978711462,0.7393245581045506,37026.0,62496.47848975631,-3365.1346083882236,5.109402047856959
26,ac2-071,36787.4487394958,1047.6309046587933,57116.35207519532,53324.319805908206,431.5041184901464,0.7256739495798319,37946.0,61821.971569673406,4705.619494478087,8.2386555224728
27,ac2-311,35999.65880297073,2807.714931159036,67004.66588745118,57551.80075683594,436.1904031364586,0.7600314547837482,36010.0,66725.17599154876,-279.489895902414,0.41712005007513614
28,ac1-181,36001.68621064061,1339.876036402649,63629.93860473632,58712.99724121094,439.1388726957819,0.768,36018.0,64144.03798097436,514.0993762380385,0.8079520230745143
29,ac2-028,36945.94390009606,2916.1970146800486,67186.10283813477,57515.513366699226,444.6782627919783,0.0,36956.0,64736.920751507016,-2449.182086627756,3.6453700738206862
30,ac1-078,37996.984326018806,1779.3672050947614,60073.774371337895,54158.929779052734,445.409164783782,0.7725642633228839,38010.0,60321.610199082075,247.83582774418028,0.4125524496133982
31,ac1-243,36999.25990880393,1774.532888495412,66378.70840759277,60146.34915161133,445.2089431562461,0.7600028060329709,37014.0,62610.22733187425,-3768.4810757185187,5.677243751985175
32,ac1-272,35997.43071331213,2615.2634498309044,69581.0705871582,60581.79783325196,438.3345511052808,0.7039999999999998,36008.0,66392.49932129197,-3188.571265866238,4.582526884049864
33,ac1-407,37000.38669673055,1378.8601585222111,64718.5603088379,59783.47525024415,445.72376437621887,0.7700473506200676,37014.0,61913.11612038674,-2805.4441884511616,4.334837139552459
34,ac1-227,35001.61312849162,1216.960856932358,65589.45767211914,61162.39607543946,436.5935556910979,0.7439999999999999,35014.0,66230.79740798532,641.339735866175,0.9778091763957313
35,ac2-152,35000.92640692641,1357.1729870152787,68601.3110534668,63248.92100830079,441.4085305614604,0.7679999999999999,35010.0,66478.49021166163,-2122.8208418051654,3.094431883598656
36,ac2-117,34947.5439582497,1756.0668467849805,68909.75386962891,62432.45473022461,438.2462311597107,0.759916499397832,34962.0,67301.56580881553,-1608.1880608133797,2.333759693665323
37,ac2-233,37002.0106888361,1349.3369652178517,69000.47234497071,63865.80664062501,446.3225948679872,0.6442232779097387,37018.0,61857.555624973946,-7142.916719996763,10.351982352070658
38,ac1-419,36727.34627831715,2776.0738144672537,66170.05591430663,56971.20251464844,438.9796076018674,0.6971634304207118,37014.0,64994.251573855116,-1175.8043404515192,1.7769432475230815
39,ac1-287,38999.10053134963,2859.167281886448,59239.16439819336,50802.34619140625,444.5273974613268,0.2946312433581296,39010.0,59909.749010660424,670.5846124670643,1.1319953940598044
40,ac1-083,37001.18724448078,1688.2496196478098,64065.38728637695,58059.82421875,443.6161138111185,0.7279999999999999,37018.0,62454.338534281356,-1611.048752095594,2.514694471281487
41,ac2-381,32999.04062229905,1076.2699789810054,66024.90635375977,61634.1321472168,437.5755730593017,0.7359999999999999,33010.0,70594.45189986988,4569.545546110108,6.920942108765137
42,ac1-420,34998.81572600096,2581.3986354132217,71413.58378906251,62087.72452392578,447.4137533340144,0.7290921369995176,35014.0,68632.21015975274,-2781.3736293097754,3.894740302524577
43,ac1-133,37001.50445103858,1502.4748000043944,65916.04418334962,60708.80369873047,445.90388752504737,0.0,37010.0,62127.52114160976,-3788.523041739856,5.747497576161945
44,ac1-242,37999.15440289505,1232.7424518514829,61579.70106201172,57098.20838012696,443.1293458662991,0.76,38018.0,59357.133709767106,-2222.567352244616,3.6092532342865
45,ac1-600,36000.77785564121,1165.219619264005,63303.35209350586,58858.146801757815,437.2776693505958,0.7679663629992992,36018.0,63839.55817448137,536.2060809755058,0.8470421600794089
46,ac1-116,37998.49572649573,1288.8401063678082,55519.70690917969,51274.0822631836,431.0622895439181,0.7740415140415141,38010.0,59457.11737433229,3937.4104651525995,7.091915077277873
47,ac2-132,33948.18465227818,1300.41824382965,66224.48699951172,61289.40194091797,442.5306372355125,0.7650167865707432,33962.0,68802.641108944,2578.1541094322747,3.8930525946562393
48,ac2-048,37000.20355610056,2057.4975564056863,70052.80665893556,62813.47232666016,445.3577239322238,0.768,37010.0,63104.73733519297,-6948.069323742588,9.918331120650866
49,ac1-226,36000.77242524917,1182.4907957865912,67349.39609375,62650.17907104492,442.20205069359525,0.76,36010.0,63869.88645100426,-3479.509642745732,5.166356113872608
50,ac1-245,37001.3523465704,1805.7492672869807,66115.62482910157,56118.44884643555,445.3522472925827,0.696,37022.0,62660.203352012744,-3455.421477088821,5.22633112221285
51,ac1-162,38000.64121173872,1794.1420077454266,60019.34328613282,54086.354998779294,441.6655560823123,0.7679999999999998,38018.0,60339.124733333054,319.78144720023556,0.5327973111530521
52,ac2-437,33000.10231023102,1645.1596655790495,67294.96500854492,61307.54563598633,435.0550501075771,0.7279999999999999,33010.0,71590.5689837921,4295.60397524717,6.383247208318968
53,ac2-479,36997.45949214027,1320.3971855546258,69381.48994140625,64301.25532226563,443.42171829787696,0.7502055622732768,37014.0,61817.236580484314,-7564.253360921939,10.90240836181245
54,ac1-225,36997.24091189156,1384.2883633112244,67657.83890991211,62468.74212036133,442.5551215245696,0.768,37022.0,61929.88681917895,-5727.952090733161,8.466058306059782
55,ac1-342,36499.62914691943,2584.492512919881,66297.06177978516,57642.519232177736,439.15279946276667,0.7627772511848341,37012.0,65182.25518003202,-1114.8065997531376,1.681532438731782
56,ac1-573,34999.4833478135,2042.211202127,70560.83012084961,63103.77144775391,441.7050891536719,0.7436501592817838,35016.0,67684.24742462073,-2876.5826962288847,4.076741573621169
57,ac2-399,36997.16820276498,1574.683993032359,69898.58525085449,64047.243591308594,444.5861150278064,0.7599999999999999,37014.0,62264.252116887306,-7634.333133967186,10.922013809820076
58,ac1-073,35383.17866276945,1756.6497795569353,68583.16735839844,62214.7303894043,442.0983261961483,0.7408111070515161,36002.0,66299.6089917139,-2283.558366684534,3.329619285080887
59,ac1-318,31999.50463576159,1061.1383113193149,56771.62186889648,52870.72742919922,405.4411598148682,0.7599999999999999,32030.0,72869.16513640524,16097.543267508758,28.354911728051462
60,ac2-395,34029.89965119399,2690.03018163131,71703.88291015626,62105.86821899415,448.7867269683348,0.7599377515427959,35002.0,71053.66515104589,-650.2177591103682,0.9068096910805792
61,ac2-284,37945.84028851108,1372.7501166337354,61561.557366943365,56807.9092590332,441.2582861346394,0.7599999999999999,37962.0,59725.63387026348,-1835.923496679883,2.9822564197599664
62,ac2-419,35946.28027095681,2649.3783676662174,72320.76854248048,63067.48405761719,440.93226488541626,0.2715681625740897,35962.0,66570.14640607964,-5750.622136400838,7.951550090376848
63,ac2-211,35415.20459770115,3038.489997004377,66587.3609008789,56499.4664428711,437.9123938763635,0.7599632183908045,36946.0,68475.86455727734,1888.5036563984322,2.8361293056945667
64,ac1-348,36998.57856191744,1799.379779000993,68365.44301757813,61870.00018310547,444.0742764371648,0.76,37014.0,62655.40930866155,-5710.033708916584,8.35222220010835
65,ac1-303,33002.27258064516,1087.9639494792543,65444.30811157226,53415.03828125,436.6993158422985,0.7599999999999999,33014.0,70607.5370350181,5163.228923445844,7.8895003590584984
66,ac2-186,36661.31801637853,2887.389453750989,68864.39463195801,58840.00310668946,439.2310038169296,0.3753321201091901,37946.0,65341.66147181722,-3522.733160140793,5.115463773359002
67,ac1-424,34994.140995812006,2619.396065840177,72066.75681152343,62595.74798583984,438.8945712413652,0.7593708701721731,35014.0,68709.66916755318,-3357.087643970255,4.658302652289549
68,ac2-385,37210.8081705151,2177.470989747981,66768.7978515625,59438.74504394532,447.4766384478131,0.7747874481941978,38998.0,62830.44063867899,-3938.3572128835076,5.898499508167113
69,ac2-462,35948.64333652924,2646.456287928226,71322.8653137207,62051.43713378907,441.0606868750758,0.7599999999999999,35962.0,66559.57674918413,-4763.288564536575,6.678487387718899
70,ac1-213,32999.913522012575,1079.8744573840834,69163.76560058593,64700.41661376953,439.885934612478,0.7599999999999999,33010.0,70598.76905998375,1435.0034593978198,2.074790819928496
71,ac1-322,35979.995211144975,2622.8727672746622,70089.09404907227,60835.80956420898,441.08346199134,0.7576891597736177,36018.0,66445.99830120533,-3643.0957478669443,5.197806873229468
72,ac2-079,34946.950765684174,3195.3070495487823,65389.87702636719,54975.396057128906,436.5077527410914,0.7359999999999999,34966.0,69829.20301541952,4439.325989052333,6.7890110685821625
73,ac2-209,35583.371607983856,2844.954669661307,68800.89169921876,58912.57788696289,447.110452870996,0.7679389997757344,36998.0,67748.9776562135,-1051.9140430052648,1.5289250139431105
74,ac2-346,37999.79452495974,2158.6126896382443,62269.16147460937,55265.69517822266,441.11430025986107,0.1275233494363929,38010.0,60980.82268338898,-1288.3387912203907,2.068983684236247
75,ac2-030,38940.29300328366,2579.747930734932,62795.3286315918,54703.24063110352,441.576792582138,0.7599999999999998,38950.0,59554.68447220215,-3240.6441593896525,5.160645274112494
76,ac1-400,36016.602537621715,2159.9445232857524,64446.4048828125,57080.0646850586,435.0316544752831,0.7526420773089406,36042.0,65549.14641070618,1102.741527893675,1.7110985940936019
77,ac1-378,37996.14640759151,1551.0876730584653,62795.3286315918,57243.35794067383,437.26499681509966,0.7199999999999999,38006.0,59922.84457044097,-2872.4840611508334,4.574359468684603
78,ac1-168,37998.2925911997,1782.3402989392632,62904.19080200196,51582.52507934571,432.3374540847491,0.0,38006.0,60323.81674150855,-2580.3740604934137,4.102070192136216
79,ac2-011,36945.23617021277,1669.7979189478551,67966.28172607422,62033.29343872071,446.7443246579031,0.744,36956.0,62550.76911028594,-5415.512615788277,7.967940099495982
80,ac2-039,37000.24653979239,1634.8784724896152,66551.0735107422,60890.24064941406,444.2508987328649,0.3408858131487889,37010.0,62362.82297928388,-4188.25053145831,6.293287712004035
81,ac1-278,36738.05964998768,2553.48631077912,71631.30812988282,55664.85646972657,438.299420552012,0.7673275819571111,38998.0,64578.88203731777,-7052.426092565045,9.845452046998073
82,ac1-558,35004.33791208791,818.3545396156323,60672.51630859375,57297.78902587891,435.2302257099253,0.76,35016.0,65524.85779300143,4852.341484407676,7.997593934834681
83,ac1-454,36990.28197381672,968.18748379414,61416.40780639648,57606.231842041016,435.19913439462056,0.0,38018.0,61215.53456361499,-200.87324278149026,0.3270677168464572
84,ac1-277,37000.012891344384,2838.016389730171,65135.86529541016,55574.13799438477,447.4869718282666,0.7759999999999999,37010.0,64475.206455832,-660.6588395781655,1.014278134760143
85,ac2-288,38534.83800294923,2972.889215351967,67331.25239868165,57424.79489135742,446.7954484190659,0.7759999999999999,38966.0,61178.25406484929,-6152.9983338323655,9.138398759314985
86,ac2-114,36998.6174351585,1718.0957313789656,68329.1556274414,62142.15560913086,444.36512626378703,0.728,37012.0,62512.64343698026,-5816.512190461144,8.512489488638138
87,ac2-397,37000.00657462196,2898.892509745422,71794.60138549806,61343.83302612304,448.0341311321375,0.7636081525312294,37014.0,64582.07571672043,-7212.525668777627,10.046055733425243
88,ac2-364,37944.1165475536,1338.8879070586163,61071.67760009765,56426.891662597656,439.1876050210796,0.7279560197910938,37958.0,59670.16480660929,-1401.512793488364,2.294865391885228
89,ac1-550,38485.49908368968,2625.852099858288,64410.11749267578,55882.58081054688,445.85296956206383,0.7614432905721847,39010.0,60682.70135157913,-3727.416141096648,5.787004101522561
90,ac2-254,37999.73420479303,1480.7926992214602,63666.22599487305,58331.97964477539,441.42552940187886,0.741516339869281,38022.0,59791.196778648155,-3875.029216224895,6.086475451736288
91,ac1-371,37003.10638297872,992.8559568529324,65607.6013671875,61434.55150146485,441.5027727481495,0.76,37022.0,61229.30849970615,-4378.292867481345,6.673453649032614
92,ac1-297,37001.55995475113,1390.2594692731532,69290.77146606446,64083.53098144531,446.8821646841635,0.1840588235294117,37014.0,61930.42387677278,-7360.347589291676,10.62240675570548
93,ac2-442,33850.53662842012,986.8013742431827,61289.40194091797,57479.225976562506,427.328732989203,0.7599999999999998,34012.0,68476.97440485161,7187.572463933648,11.72726806971025
94,ac2-131,35946.58127340824,1224.6743636553128,62704.61015625,58059.82421875,436.9477416587509,0.7599999999999999,35966.0,64068.69703946861,1364.0868832186097,2.1754172138532084
95,ac1-305,36999.35841313269,1801.8425310933767,64645.98552856445,58386.41072998048,445.20938867373457,0.7435430916552668,37022.0,62657.93664733984,-1988.0488812246113,3.0752859051799475
96,ac2-269,36949.71469740634,1720.077319700919,69145.62190551759,63103.77144775391,446.9219896751505,0.592342939481268,36960.0,62628.71250355811,-6516.909401959478,9.424905326420168
97,ac2-137,38998.73725490197,1233.5149756734063,63502.93273925781,58912.57788696289,451.2730961732484,0.7359560784313725,39010.0,57057.108235629814,-6445.824503627999,10.15043593355675
