,ts,altitude,distance,tas,gw_kg,roc
57,5990.0,34992.0,1210.4958066990737,440.6473543959069,66995.59403991699,0.0
58,6095.0,35012.0,1234.439929860696,447.3633329057349,66913.94741210938,0.0
59,6200.0,35008.0,1258.4584227184127,443.0848201636765,66850.44447937011,-120.0
60,6305.0,34980.0,1282.309487477509,441.1417906886157,66714.36676635743,480.0
61,6410.0,35024.0,1306.2668161858892,443.39376653871057,66705.29491882325,120.0
62,6515.0,34996.0,1330.171192283963,442.2245277736647,66623.64829101562,0.0
63,6620.0,35004.0,1354.1062984462517,444.0226257543592,66542.00166320801,0.0
64,6725.0,34980.0,1377.9645604744096,440.367460380026,66442.21134033203,0.0
65,6830.0,35000.0,1401.7998142506642,442.0598812577564,66405.92395019531,120.0
66,6935.0,35010.0,1425.7322807296405,442.5189451709695,66315.20547485352,-120.0
67,7040.0,35008.0,1449.613215034483,443.6649211286602,66242.63069458009,-120.0
68,7145.0,35002.0,1473.4644300990708,444.394675887788,66170.05591430663,120.0
69,7251.0,35000.0,1497.6319005703551,441.8663766735926,66079.33743896485,0.0
70,7356.0,35000.0,1521.4488137719468,442.0598812577564,66006.76265869141,0.0
71,7461.0,35004.0,1545.364763046763,442.2822018089005,65916.04418334962,0.0
72,7566.0,34988.0,1569.185724743244,441.5864273052646,65843.46940307617,0.0
73,7671.0,35028.0,1593.112948925106,444.00282618905584,65789.0383178711,0.0
74,7776.0,34984.0,1617.001569760149,442.3314585102464,65716.46353759765,0.0
75,7881.0,35002.0,1640.8751033720744,441.880786726263,65680.17614746094,120.0
76,7986.0,34976.0,1664.6412398252164,440.14508499053056,65607.6013671875,0.0
77,8091.0,35024.0,1688.5051481228454,443.20034259607183,65498.739196777344,0.0
78,8196.0,35000.0,1712.4001357735808,440.70488415489046,65426.1644165039,0.0
79,8301.0,34420.0,1736.1618242376887,437.13360049752674,65353.58963623047,-1200.0
80,8406.0,31608.0,1759.2186034505528,415.0349522485741,65317.30224609375,-960.0
81,8512.0,29868.0,1781.5693340058765,404.2772194056362,65281.01485595704,-960.0
82,8617.0,28136.0,1803.1841943226293,394.6382277171313,65244.72746582032,-1440.0
83,8722.0,25096.0,1823.9969726399256,380.00318075878937,65208.4400756836,-1560.0
84,8827.0,22190.0,1844.1095629984848,363.77008675366005,65172.15268554688,-1560.0
85,8932.0,19420.0,1863.248865899573,349.4814119768125,65172.15268554688,-1560.0
86,9037.0,16730.0,1881.9919792727887,341.7568955269776,65154.00899047851,-1560.0
87,9142.0,14144.0,1900.1480745172173,341.11383603695805,65099.57790527344,-1560.0
88,9247.0,11616.0,1917.823884152434,313.7097736772501,65081.43421020508,-1440.0
89,9352.0,9512.0,1933.9753786227127,284.94289101575265,65045.14682006836,-1440.0
90,9457.0,7540.0,1948.9699970323045,256.2577398387107,65027.003125,-480.0
91,9562.0,5620.0,1961.964418693509,233.39713391283044,65045.14682006836,-1080.0
92,9667.0,3302.0,1974.382216872348,226.5765693881827,65027.003125,-1080.0
93,9773.0,3118.0,1986.7119783192963,216.59212485487143,65027.003125,-120.0
94,9878.0,2088.0,1996.7474907827025,165.16484213623366,64972.57203979492,-720.0
95,9983.0,874.0,2004.674473550727,139.50453236594873,64936.284649658206,-600.0
96,10088.0,212.0,2011.3662058646453,35.7356773642717,64981.643887329104,120.0
97,10193.0,212.0,2013.230614591468,34.85796368501191,65008.85942993165,0.0
98,10298.0,212.0,2015.093215428076,31.34710554441966,65017.93127746583,120.0
99,10403.0,212.0,2016.958327571365,36.111840259993954,65027.003125,0.0
