,ac,mean_cruise_altitude,max_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach
250,a320,39916.666666666664,40400,1590,56470,52790,470.0,0.8199055555555556
251,a320,33359.52380952381,34700,2770,68520,61700,476.1190476190476,0.82
252,a320,40952.94117647059,41000,2380,52460,47220,470.0,0.82
253,a320,33564.705882352944,34900,1490,66510,62800,475.8235294117647,0.82
254,a320,35197.05882352941,38300,4060,67180,57450,473.27941176470586,0.819964705882353
255,a320,40354.545454545456,40700,900,54470,52370,470.0,0.82
256,a320,37378.94736842105,38700,2570,62500,56390,470.42105263157896,0.8199578947368421
257,a320,32297.222222222223,33400,2480,71200,64990,478.44444444444446,0.82
258,a320,38543.75,39900,3070,61160,54010,470.0,0.8199666666666667
259,a320,38415.625,39300,2280,60490,55140,470.0,0.8199375
260,a320,32848.3870967742,34700,3760,71200,61920,477.2258064516129,0.8200000000000001
261,a320,40937.5,41000,1880,51790,47600,470.0,0.82
262,a320,34800.0,35000,500,59150,57900,473.0,0.82
263,a320,35372.22222222222,38500,4250,67180,57000,473.09722222222223,0.8199722222222223
264,a320,34523.61111111111,37900,4250,68520,58240,474.27777777777777,0.8199638888888889
265,a320,38952.5,40100,2670,59820,53620,470.0,0.8199574999999999
266,a320,39315.38461538462,39600,1090,57140,54560,470.0,0.8199692307692307
267,a320,32188.095238095237,33400,2770,71870,64920,478.6666666666667,0.82
268,a320,34428.57142857143,37800,4150,68520,58470,474.4,0.8199628571428573
269,a320,33821.153846153844,35500,3270,67850,59900,475.1730769230769,0.8200000000000001
270,a320,36135.416666666664,38400,3070,64500,57180,471.875,0.8199583333333335
271,a320,35698.57142857143,38700,4150,66510,56600,472.62857142857143,0.819977142857143
272,a320,34720.68965517241,37800,3560,67180,58580,473.8448275862069,0.8199551724137931
273,a320,32576.923076923078,32900,900,67850,65570,477.84615384615387,0.8200000000000001
274,a320,39117.391304347824,40400,2970,59820,52960,470.0,0.8199630434782609
275,a320,36430.95238095238,38400,2770,63840,57220,471.3809523809524,0.819952380952381
276,a320,41000.0,41000,4350,52460,43140,470.0,0.8200000000000001
277,a320,40927.77777777778,41000,1590,52460,48880,470.0,0.82
278,a320,39161.53846153846,39600,990,57140,54780,470.0,0.8199538461538461
279,a320,34184.782608695656,35800,2970,66510,59310,474.3695652173913,0.82
280,a320,31566.666666666668,33600,1690,67850,63530,453.44444444444446,0.7746444444444445
281,a320,41000.0,41000,4150,51790,42920,470.0,0.8200000000000001
282,a320,40927.77777777778,41000,1590,53130,49530,470.0,0.82
283,a320,35227.27272727273,35700,800,60490,58530,472.27272727272725,0.82
284,a320,40963.82978723404,41000,3070,53130,46410,470.0,0.82
285,a320,36560.34482758621,38900,3560,64500,56060,471.55172413793105,0.8199724137931036
286,a320,36933.333333333336,37500,1090,61830,59150,470.06666666666666,0.8199733333333333
287,a320,36923.07692307692,38100,1980,62500,57740,470.61538461538464,0.8199192307692308
288,a320,31983.333333333332,33500,3360,73200,64770,479.0740740740741,0.8200000000000001
289,a320,32869.230769230766,34400,3270,70530,62450,477.2307692307692,0.8200000000000001
290,a320,38737.5,39600,2280,59820,54490,470.0,0.819946875
291,a320,35600.0,35800,700,59150,57440,471.44444444444446,0.82
292,a320,33144.444444444445,34800,3360,69860,61580,476.5925925925926,0.8200000000000001
293,a320,35783.333333333336,38800,4250,66510,56370,472.55555555555554,0.8199777777777779
294,a320,34211.11111111111,35500,2480,65840,59820,474.44444444444446,0.82
295,a320,37088.88888888889,39700,4250,64500,54510,471.25,0.8199722222222223
296,a320,32704.545454545456,33400,1780,69190,64700,477.54545454545456,0.82
297,a320,40048.275862068964,41000,3660,58480,50200,470.0,0.8200000000000001
298,a320,40187.179487179485,41000,2670,57140,51070,470.0,0.8200000000000001
299,a320,40002.32558139535,41000,2870,57810,51280,470.0,0.8199976744186045
300,a320,36716.12903225807,39100,3760,64500,55610,471.4516129032258,0.8199741935483872
301,a320,36770.0,38800,3170,63840,56320,471.16,0.819968
302,a320,35309.52380952381,37800,2770,65170,58490,472.73809523809524,0.8199380952380951
303,a320,32763.88888888889,33900,2480,69860,63700,477.44444444444446,0.82
304,a320,34018.0,35700,3170,67180,59490,474.76,0.82
305,a320,39593.75,40400,1490,57140,53660,469.9375,0.8197749999999999
306,a320,34582.35294117647,36200,1490,63840,60180,473.47058823529414,0.82
307,a320,40920.0,41000,2180,53800,48920,470.0,0.8200000000000001
308,a320,40226.829268292684,41000,2770,57140,50860,470.0,0.82
309,a320,40481.25,41000,1490,55140,51700,470.0,0.8199749999999999
310,a320,40951.02040816326,41000,3170,53800,46840,470.0,0.82
311,a320,33409.375,34500,2280,67850,62230,476.0625,0.82
312,a320,36850.0,38900,3270,63840,56100,471.11538461538464,0.8199692307692307
313,a320,40946.666666666664,41000,2180,53130,48280,470.0,0.8200000000000001
314,a320,32930.0,33600,1690,68520,64290,477.2,0.82
315,a320,40868.96551724138,41000,3660,55140,47070,470.0,0.8200000000000001
316,a320,34987.5,36000,1880,63170,58610,472.875,0.82
317,a320,39988.57142857143,41000,4250,59150,49560,470.0,0.8200000000000001
318,a320,31883.333333333332,33500,3660,73870,64690,479.31666666666666,0.8200000000000001
319,a320,40503.44827586207,41000,2180,55800,50850,470.0,0.8200000000000001
320,a320,33427.27272727273,34200,1780,67180,62750,475.95454545454544,0.82
321,a320,40664.0,41000,1980,55140,50630,470.0,0.82
322,a320,37741.666666666664,38200,900,59820,57640,470.0,0.8199916666666667
323,a320,33991.666666666664,34900,1880,65840,61210,474.9166666666667,0.82
324,a320,34333.333333333336,35800,2770,65840,59130,474.1190476190476,0.82
325,a320,40946.42857142857,41000,2080,51120,46540,470.0,0.8200000000000001
326,a320,32479.41176470588,33500,2380,70530,64580,478.02941176470586,0.82
327,a320,40688.88888888889,41000,2080,55140,50420,470.0,0.8200000000000001
328,a320,40486.666666666664,41000,3760,57140,48740,470.0,0.8200000000000001
329,a320,40948.3870967742,41000,3860,54470,46030,470.0,0.8200000000000001
330,a320,37847.05882352941,38800,2380,61830,56200,470.0,0.8199499999999998
331,a320,39917.94871794872,41000,2670,57810,51700,470.0,0.8199564102564103
332,a320,31661.666666666668,33300,3660,74540,65330,479.75,0.8200000000000001
333,a320,40668.88888888889,41000,2970,55800,49160,470.0,0.82
334,a320,32111.666666666668,33800,3660,73200,64060,478.76666666666665,0.8200000000000001
335,a320,39167.605633802814,41000,4250,61160,51410,470.0,0.8199943661971832
336,a320,32314.583333333332,33700,3070,71870,64200,478.3125,0.82
337,a320,33955.555555555555,35200,2480,66510,60470,474.8611111111111,0.82
338,a320,37364.28571428572,37800,1090,61160,58500,470.0,0.8199571428571428
339,a320,33823.333333333336,34900,2180,66510,61160,475.2,0.8200000000000001
340,a320,32670.0,33300,1690,69190,64940,477.55,0.82
341,a320,37733.333333333336,38300,1590,61160,57340,470.0,0.8199111111111111
342,a320,40952.94117647059,41000,2380,51120,45930,470.0,0.82
343,a320,32800.0,33200,900,67180,64910,477.3076923076923,0.8200000000000001
344,a320,40961.53846153846,41000,1090,53130,50610,470.0,0.8200000000000001
345,a320,31896.0,33300,3170,73200,65250,479.2,0.82
346,a320,32591.666666666668,34600,4250,72540,62010,477.72222222222223,0.8200000000000001
347,a320,40319.14893617021,41000,3070,57140,50220,470.0,0.82
348,a320,37888.46153846154,39500,3270,62500,54830,470.25,0.8199615384615384
349,a320,41000.0,41000,3760,51120,43090,470.0,0.8200000000000001
350,a320,40866.07142857143,41000,3560,55140,47280,470.0,0.8200000000000001
351,a320,34728.57142857143,35400,990,62500,60050,473.35714285714283,0.8200000000000001
352,a320,38436.36363636364,39700,2870,61160,54450,470.0,0.8199590909090908
353,a320,36604.34782608696,38600,2970,63840,56770,471.2608695652174,0.8199652173913045
354,a320,33735.71428571428,34500,990,65170,62680,475.42857142857144,0.8200000000000001
355,a320,40293.54838709677,41000,2280,56470,51280,470.0,0.8199935483870968
356,a320,33300.0,33800,900,65840,63590,476.3076923076923,0.8200000000000001
357,a320,40927.77777777778,41000,1590,51120,47580,470.0,0.82
358,a320,40950.0,41000,2180,51790,46980,470.0,0.8200000000000001
359,a320,34140.90909090909,35700,2870,66510,59540,474.45454545454544,0.82
360,a320,31703.225806451614,33400,3760,74540,65090,479.6774193548387,0.8200000000000001
361,a320,40206.25,41000,1490,55800,52350,469.9375,0.8197999999999999
362,a320,39663.46153846154,41000,3360,59150,51470,470.0,0.8199846153846154
363,a320,34313.333333333336,35400,1090,63840,61130,474.1333333333333,0.8200000000000001
364,a320,40882.92682926829,41000,2770,54470,48310,470.0,0.82
365,a320,40855.555555555555,41000,2480,54470,48930,470.0,0.82
366,a320,32173.333333333332,33100,2180,71200,65700,478.7,0.8200000000000001
367,a320,32884.61538461538,33500,800,66510,64490,477.2307692307692,0.8200000000000001
368,a320,31938.46153846154,33400,3270,73200,65010,479.13461538461536,0.8200000000000001
369,a320,40940.0,41000,1290,53130,50180,470.0,0.8200000000000001
