,ac,mean_cruise_altitude,max_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach
664,a320,40955.555555555555,41000,600,53800,51770,461.55555555555554,0.7920555555555555
665,a320,33579.06976744186,36000,3560,73870,61740,459.8139534883721,0.7813837209302323
666,a320,36951.21951219512,38900,2670,65170,56790,461.0975609756098,0.7874
667,a320,35061.19402985075,38400,3960,70530,57760,460.089552238806,0.7839417910447761
668,a320,34668.0,36100,1880,67850,61470,460.32,0.783736
669,a320,40905.26315789474,41000,1590,55800,51140,461.7894736842105,0.7928157894736841
670,a320,32305.263157894737,33700,3070,77220,65800,456.42105263157896,0.7740631578947369
671,a320,40977.611940298506,41000,3960,55140,44590,458.6865671641791,0.7877955223880596
672,a320,40576.27118644068,41000,3560,58480,48650,460.4237288135593,0.7904067796610169
673,a320,40800.0,41000,1780,56470,51270,461.4347826086956,0.7924391304347825
674,a320,32400.0,34100,1880,71870,65100,458.125,0.776925
675,a320,37210.769230769234,40200,3860,66510,54700,460.4,0.7873338461538462
676,a320,35154.05405405405,38800,4250,70530,57070,460.1756756756757,0.7840472972972974
677,a320,33974.0,36700,4060,74540,60640,459.96,0.7823
678,a320,32643.478260869564,34200,2670,74540,64860,457.4347826086956,0.7763434782608695
679,a320,40970.21276595745,41000,2970,53800,45910,459.59574468085106,0.7893680851063829
680,a320,40982.35294117647,41000,1290,53800,50000,461.47058823529414,0.7929588235294117
681,a320,39766.666666666664,41000,4350,61830,49550,460.38666666666666,0.789728
682,a320,39720.0,40800,1880,59150,53490,461.04,0.7911279999999999
683,a320,35925.92592592593,37400,1980,65840,59350,460.81481481481484,0.7859703703703705
684,a320,39952.63157894737,41000,3460,60490,50630,460.8070175438597,0.790417543859649
685,a320,40468.96551724138,41000,2080,57810,51750,461.17241379310343,0.7918758620689657
686,a320,40679.31034482759,41000,2080,57140,51140,461.13793103448273,0.7920206896551726
687,a320,37745.454545454544,39300,2280,63170,56090,461.0,0.7886878787878788
