,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude
87,ac1-213,32999.913522012575,1079.8744573840834,69163.76560058593,64700.41661376953,439.88593461247797,0.7599999999999999,33010.0
88,ac1-322,35979.995211144975,2622.8727672746622,70089.09404907227,60835.80956420898,441.08346199133996,0.7576891597736177,36018.0
89,ac2-079,34946.950765684174,3195.3070495487823,65389.87702636719,54975.396057128906,436.5077527410914,0.7359999999999999,34966.0
92,ac2-209,35583.371607983856,2844.954669661307,68800.89169921876,58912.57788696289,447.110452870996,0.7679389997757344,36998.0
93,ac2-346,37999.79452495974,2158.6126896382443,62269.16147460937,55265.69517822266,441.11430025986107,0.1275233494363929,38010.0
94,ac2-030,38940.29300328366,2579.7479307349317,62795.3286315918,54703.24063110352,441.57679258213795,0.7599999999999998,38950.0
96,ac1-400,36016.602537621715,2159.9445232857524,64446.4048828125,57080.0646850586,435.03165447528306,0.7526420773089406,36042.0
97,ac1-378,37996.14640759151,1551.0876730584653,62795.3286315918,57243.35794067383,437.26499681509966,0.7199999999999999,38006.0
99,ac1-168,37998.2925911997,1782.3402989392632,62904.19080200196,51582.52507934571,432.3374540847491,0.0,38006.0
101,ac2-011,36945.23617021277,1669.7979189478551,67966.28172607422,62033.29343872071,446.7443246579031,0.744,36956.0
102,ac2-039,37000.24653979239,1634.8784724896152,66551.0735107422,60890.24064941406,444.2508987328649,0.3408858131487889,37010.0
103,ac1-278,36738.05964998768,2553.48631077912,71631.30812988282,55664.85646972657,438.299420552012,0.7673275819571111,38998.0
106,ac1-558,35004.33791208791,818.3545396156323,60672.51630859375,57297.78902587891,435.2302257099253,0.76,35016.0
107,ac1-454,36990.281973816716,968.18748379414,61416.40780639648,57606.231842041016,435.19913439462056,0.0,38018.0
108,ac1-277,37000.012891344384,2838.016389730171,65135.86529541016,55574.13799438477,447.4869718282666,0.7759999999999999,37010.0
109,ac2-288,38534.83800294923,2972.889215351967,67331.25239868165,57424.79489135742,446.7954484190659,0.7759999999999999,38966.0
110,ac2-114,36998.6174351585,1718.0957313789656,68329.1556274414,62142.15560913086,444.36512626378703,0.728,37012.0
111,ac2-397,37000.00657462196,2898.892509745422,71794.60138549806,61343.83302612304,448.0341311321375,0.7636081525312294,37014.0
112,ac2-364,37944.1165475536,1338.8879070586163,61071.67760009765,56426.891662597656,439.18760502107955,0.7279560197910938,37958.0
